geral; gerador; descriminador 
0.2435; 0.8209; 1.4518 
0.2656; 0.8209; 1.6501 
0.1971; 0.8209; 1.7088 
0.2397; 0.8209; 1.6134 
0.2493; 0.8208; 1.5227 
0.2490; 0.8208; 1.4928 
0.2598; 0.8208; 1.4974 
0.2546; 0.8209; 1.4414 
0.2398; 0.8209; 1.4486 
0.2511; 0.8209; 1.4300 
0.2592; 0.8210; 1.4475 
0.2533; 0.8210; 1.4493 
0.2480; 0.8209; 1.4809 
0.2361; 0.8210; 1.4619 
0.2345; 0.8210; 1.4583 
0.2377; 0.8209; 1.4813 
0.2251; 0.8209; 1.4820 
0.2291; 0.8209; 1.5083 
0.2302; 0.8209; 1.4934 
0.2338; 0.8209; 1.4866 
0.2375; 0.8209; 1.4833 
0.2376; 0.8210; 1.4779 
0.2451; 0.8210; 1.4904 
0.2452; 0.8209; 1.4923 
0.2435; 0.8209; 1.4884 
0.2430; 0.8210; 1.4909 
0.2422; 0.8210; 1.4980 
0.2405; 0.8210; 1.5011 
0.2447; 0.8209; 1.5068 
0.2446; 0.8209; 1.5024 
0.2403; 0.8209; 1.4955 
0.2352; 0.8208; 1.5119 
0.2354; 0.8208; 1.5077 
0.2374; 0.8208; 1.5034 
0.2322; 0.8208; 1.4960 
0.2306; 0.8208; 1.5038 
0.2300; 0.8208; 1.5075 
0.2327; 0.8207; 1.5117 
0.2295; 0.8207; 1.5020 
0.2314; 0.8207; 1.5085 
0.2309; 0.8207; 1.5108 
0.2311; 0.8207; 1.5032 
0.2309; 0.8208; 1.5119 
0.2304; 0.8208; 1.5125 
0.2309; 0.8208; 1.5133 
0.2297; 0.8208; 1.5103 
0.2314; 0.8208; 1.5152 
0.2326; 0.8208; 1.5147 
0.2312; 0.8208; 1.5180 
0.2306; 0.8207; 1.5162 
0.2286; 0.8207; 1.5174 
0.3633; 0.8207; 1.4083 
0.2297; 0.8206; 1.4956 
0.2115; 0.8206; 1.4649 
0.2075; 0.8205; 1.4969 
0.2044; 0.8205; 1.5088 
0.1925; 0.8205; 1.4785 
0.2009; 0.8205; 1.4603 
0.2163; 0.8205; 1.4495 
0.2057; 0.8205; 1.4273 
0.2071; 0.8204; 1.4426 
0.2081; 0.8205; 1.4736 
0.2020; 0.8205; 1.4654 
0.2044; 0.8205; 1.4550 
0.2142; 0.8205; 1.4581 
0.2166; 0.8204; 1.4517 
0.2175; 0.8204; 1.4726 
0.2149; 0.8204; 1.4730 
0.2161; 0.8203; 1.4685 
0.2360; 0.8204; 1.4762 
0.2258; 0.8203; 1.5009 
0.2250; 0.8203; 1.5088 
0.2279; 0.8203; 1.5046 
0.2323; 0.8203; 1.5015 
0.2279; 0.8203; 1.5040 
0.2321; 0.8202; 1.4987 
0.2382; 0.8202; 1.4893 
0.2378; 0.8203; 1.4829 
0.2391; 0.8202; 1.4843 
0.2361; 0.8202; 1.4927 
0.2355; 0.8202; 1.4931 
0.2331; 0.8202; 1.4954 
0.2329; 0.8201; 1.5004 
0.2357; 0.8201; 1.5003 
0.2316; 0.8201; 1.4964 
0.2318; 0.8201; 1.4929 
0.2351; 0.8200; 1.4905 
0.2393; 0.8201; 1.4875 
0.2478; 0.8201; 1.4897 
0.2498; 0.8200; 1.4917 
0.2494; 0.8200; 1.4851 
0.2481; 0.8200; 1.4888 
0.2448; 0.8200; 1.4905 
0.2458; 0.8201; 1.4894 
0.2474; 0.8200; 1.4850 
0.2462; 0.8200; 1.4826 
0.2447; 0.8201; 1.4864 
0.2420; 0.8201; 1.4862 
0.2399; 0.8201; 1.4788 
0.2390; 0.8201; 1.4815 
0.2406; 0.8200; 1.4855 
0.1593; 0.8200; 1.4371 
0.1433; 0.8200; 1.3362 
0.2050; 0.8200; 1.4294 
0.2159; 0.8199; 1.5290 
0.2159; 0.8200; 1.5416 
0.1873; 0.8199; 1.5019 
0.2027; 0.8199; 1.4978 
0.2049; 0.8199; 1.4697 
0.2070; 0.8199; 1.4556 
0.2072; 0.8199; 1.4566 
0.2098; 0.8199; 1.4397 
0.2114; 0.8200; 1.4586 
0.2214; 0.8199; 1.4661 
0.2248; 0.8199; 1.4797 
0.2297; 0.8199; 1.4865 
0.2323; 0.8199; 1.5062 
0.2280; 0.8199; 1.4952 
0.2304; 0.8200; 1.4777 
0.2300; 0.8199; 1.4728 
0.2252; 0.8200; 1.4611 
0.2291; 0.8200; 1.4602 
0.2275; 0.8200; 1.4677 
0.2351; 0.8200; 1.4615 
0.2293; 0.8200; 1.4493 
0.2352; 0.8200; 1.4484 
0.2336; 0.8200; 1.4555 
0.2331; 0.8200; 1.4462 
0.2323; 0.8200; 1.4501 
0.2330; 0.8200; 1.4452 
0.2348; 0.8200; 1.4428 
0.2349; 0.8200; 1.4416 
0.2361; 0.8200; 1.4440 
0.2347; 0.8200; 1.4400 
0.2356; 0.8200; 1.4431 
0.2346; 0.8200; 1.4419 
0.2368; 0.8200; 1.4469 
0.2350; 0.8200; 1.4470 
0.2341; 0.8200; 1.4464 
0.2359; 0.8200; 1.4484 
0.2358; 0.8199; 1.4476 
0.2371; 0.8199; 1.4532 
0.2334; 0.8198; 1.4541 
0.2324; 0.8198; 1.4537 
0.2324; 0.8199; 1.4519 
0.2331; 0.8199; 1.4494 
0.2320; 0.8199; 1.4446 
0.2325; 0.8199; 1.4381 
0.2323; 0.8199; 1.4427 
0.2317; 0.8199; 1.4391 
0.2319; 0.8199; 1.4406 
0.2083; 0.8199; 1.3320 
0.2109; 0.8199; 1.5148 
0.1843; 0.8199; 1.5317 
0.2155; 0.8200; 1.6267 
0.2319; 0.8199; 1.5898 
0.2189; 0.8200; 1.5618 
0.2409; 0.8199; 1.5772 
0.2388; 0.8199; 1.5706 
0.2529; 0.8199; 1.5615 
0.2353; 0.8199; 1.5387 
0.2475; 0.8199; 1.5345 
0.2467; 0.8199; 1.5383 
0.2419; 0.8198; 1.5256 
0.2416; 0.8199; 1.5401 
0.2558; 0.8198; 1.5370 
0.2586; 0.8199; 1.5509 
0.2584; 0.8199; 1.5399 
0.2586; 0.8199; 1.5532 
0.2547; 0.8199; 1.5591 
0.2591; 0.8199; 1.5596 
0.2517; 0.8199; 1.5568 
0.2521; 0.8199; 1.5587 
0.2533; 0.8199; 1.5564 
0.2482; 0.8199; 1.5414 
0.2409; 0.8199; 1.5404 
0.2423; 0.8198; 1.5403 
0.2449; 0.8198; 1.5411 
0.2372; 0.8198; 1.5501 
0.2396; 0.8197; 1.5506 
0.2380; 0.8197; 1.5374 
0.2390; 0.8197; 1.5449 
0.2350; 0.8197; 1.5377 
0.2391; 0.8197; 1.5331 
0.2393; 0.8197; 1.5382 
0.2397; 0.8197; 1.5367 
0.2411; 0.8197; 1.5299 
0.2404; 0.8197; 1.5255 
0.2408; 0.8197; 1.5257 
0.2390; 0.8197; 1.5176 
0.2403; 0.8197; 1.5191 
0.2375; 0.8197; 1.5191 
0.2347; 0.8198; 1.5184 
0.2351; 0.8198; 1.5167 
0.2366; 0.8197; 1.5211 
0.2396; 0.8197; 1.5295 
0.2381; 0.8197; 1.5114 
0.2387; 0.8196; 1.5137 
0.2350; 0.8196; 1.5126 
0.2368; 0.8196; 1.5082 
0.2362; 0.8196; 1.5112 
0.2622; 0.8196; 1.8170 
0.2515; 0.8196; 1.7200 
0.2476; 0.8196; 1.6522 
0.2585; 0.8195; 1.6951 
0.2534; 0.8195; 1.6270 
0.2271; 0.8195; 1.6109 
0.2504; 0.8195; 1.5766 
0.2572; 0.8195; 1.5946 
0.2631; 0.8194; 1.5945 
0.2526; 0.8195; 1.6052 
0.2427; 0.8195; 1.5934 
0.2384; 0.8195; 1.5804 
0.2491; 0.8195; 1.5783 
0.2598; 0.8194; 1.5910 
0.2599; 0.8194; 1.5855 
0.2552; 0.8194; 1.5928 
0.2547; 0.8193; 1.5850 
0.2484; 0.8193; 1.5631 
0.2521; 0.8193; 1.5533 
0.2588; 0.8193; 1.5479 
0.2559; 0.8193; 1.5479 
0.2629; 0.8193; 1.5469 
0.2624; 0.8192; 1.5465 
0.2625; 0.8193; 1.5380 
0.2592; 0.8192; 1.5422 
0.2644; 0.8192; 1.5445 
0.2621; 0.8192; 1.5347 
0.2595; 0.8192; 1.5293 
0.2594; 0.8192; 1.5344 
0.2584; 0.8192; 1.5206 
0.2561; 0.8191; 1.5205 
0.2507; 0.8192; 1.5444 
0.2489; 0.8191; 1.5410 
0.2477; 0.8191; 1.5441 
0.2474; 0.8191; 1.5432 
0.2489; 0.8192; 1.5451 
0.2506; 0.8192; 1.5377 
0.2499; 0.8192; 1.5351 
0.2493; 0.8191; 1.5366 
0.2494; 0.8191; 1.5344 
0.2502; 0.8191; 1.5302 
0.2474; 0.8191; 1.5292 
0.2446; 0.8191; 1.5279 
0.2472; 0.8191; 1.5235 
0.2449; 0.8190; 1.5214 
0.2423; 0.8191; 1.5151 
0.2418; 0.8191; 1.5192 
0.2427; 0.8191; 1.5209 
0.2431; 0.8191; 1.5185 
0.2390; 0.8191; 1.5308 
0.1926; 0.8190; 1.5536 
0.1967; 0.8190; 1.5252 
0.2162; 0.8190; 1.4786 
0.2249; 0.8190; 1.4679 
0.2403; 0.8190; 1.4454 
0.2476; 0.8190; 1.4374 
0.2477; 0.8190; 1.4217 
0.2492; 0.8190; 1.4288 
0.2390; 0.8190; 1.4284 
0.2294; 0.8190; 1.4489 
0.2184; 0.8189; 1.4483 
0.2298; 0.8189; 1.4531 
0.2332; 0.8189; 1.4559 
0.2259; 0.8188; 1.4561 
0.2235; 0.8188; 1.4596 
0.2212; 0.8188; 1.4568 
0.2256; 0.8188; 1.4442 
0.2186; 0.8188; 1.4387 
0.2255; 0.8188; 1.4466 
0.2255; 0.8188; 1.4249 
0.2287; 0.8187; 1.4358 
0.2277; 0.8188; 1.4490 
0.2338; 0.8188; 1.4468 
0.2330; 0.8189; 1.4413 
0.2363; 0.8189; 1.4337 
0.2377; 0.8189; 1.4458 
0.2350; 0.8189; 1.4413 
0.2325; 0.8189; 1.4419 
0.2284; 0.8190; 1.4515 
0.2306; 0.8189; 1.4518 
0.2290; 0.8189; 1.4569 
0.2272; 0.8189; 1.4585 
0.2243; 0.8189; 1.4585 
0.2285; 0.8189; 1.4592 
0.2293; 0.8189; 1.4581 
0.2238; 0.8190; 1.4424 
0.2248; 0.8190; 1.4444 
0.2237; 0.8190; 1.4411 
0.2228; 0.8191; 1.4438 
0.2259; 0.8191; 1.4466 
0.2292; 0.8191; 1.4448 
0.2292; 0.8190; 1.4479 
0.2285; 0.8191; 1.4393 
0.2253; 0.8191; 1.4366 
0.2254; 0.8190; 1.4427 
0.2257; 0.8190; 1.4429 
0.2250; 0.8190; 1.4459 
0.2268; 0.8190; 1.4444 
0.2278; 0.8190; 1.4455 
0.2262; 0.8189; 1.4445 
0.2050; 0.8189; 1.5199 
0.2346; 0.8189; 1.5084 
0.2684; 0.8189; 1.4304 
0.2124; 0.8189; 1.4342 
0.2261; 0.8190; 1.4131 
0.2164; 0.8190; 1.3884 
0.2147; 0.8190; 1.4006 
0.2128; 0.8190; 1.3755 
0.2279; 0.8190; 1.3868 
0.2290; 0.8190; 1.3841 
0.2268; 0.8190; 1.4033 
0.2320; 0.8190; 1.4156 
0.2279; 0.8190; 1.4155 
0.2268; 0.8190; 1.4014 
0.2218; 0.8189; 1.4214 
0.2332; 0.8189; 1.4251 
0.2318; 0.8189; 1.4266 
0.2288; 0.8188; 1.4258 
0.2236; 0.8188; 1.4253 
0.2254; 0.8188; 1.4247 
0.2256; 0.8188; 1.4244 
0.2172; 0.8189; 1.4200 
0.2168; 0.8190; 1.4285 
0.2205; 0.8190; 1.4294 
0.2218; 0.8190; 1.4256 
0.2220; 0.8190; 1.4158 
0.2281; 0.8190; 1.4317 
0.2306; 0.8189; 1.4430 
0.2339; 0.8190; 1.4426 
0.2338; 0.8190; 1.4530 
0.2327; 0.8189; 1.4505 
0.2343; 0.8189; 1.4518 
0.2310; 0.8189; 1.4505 
0.2358; 0.8189; 1.4516 
0.2399; 0.8189; 1.4504 
0.2386; 0.8189; 1.4550 
0.2403; 0.8188; 1.4562 
0.2402; 0.8188; 1.4581 
0.2418; 0.8188; 1.4600 
0.2368; 0.8189; 1.4478 
0.2376; 0.8189; 1.4432 
0.2365; 0.8189; 1.4412 
0.2392; 0.8189; 1.4405 
0.2368; 0.8189; 1.4466 
0.2365; 0.8189; 1.4489 
0.2370; 0.8189; 1.4465 
0.2363; 0.8189; 1.4428 
0.2356; 0.8189; 1.4457 
0.2348; 0.8189; 1.4450 
0.2339; 0.8189; 1.4440 
0.2723; 0.8189; 1.8151 
0.3074; 0.8189; 1.6641 
0.2386; 0.8189; 1.5627 
0.2197; 0.8189; 1.5429 
0.1939; 0.8188; 1.5594 
0.1859; 0.8188; 1.5436 
0.2235; 0.8188; 1.5344 
0.2419; 0.8189; 1.4719 
0.2567; 0.8189; 1.4550 
0.2717; 0.8189; 1.4700 
0.2639; 0.8189; 1.4662 
0.2660; 0.8190; 1.4924 
0.2641; 0.8189; 1.4946 
0.2589; 0.8189; 1.5033 
0.2581; 0.8189; 1.4802 
0.2548; 0.8188; 1.4673 
0.2520; 0.8188; 1.4663 
0.2541; 0.8188; 1.4766 
0.2485; 0.8188; 1.4783 
0.2520; 0.8188; 1.4720 
0.2546; 0.8189; 1.4785 
0.2532; 0.8189; 1.4756 
0.2547; 0.8188; 1.4776 
0.2515; 0.8189; 1.4767 
0.2614; 0.8189; 1.4808 
0.2540; 0.8189; 1.4578 
0.2542; 0.8189; 1.4550 
0.2519; 0.8189; 1.4500 
0.2534; 0.8189; 1.4453 
0.2553; 0.8189; 1.4402 
0.2571; 0.8190; 1.4317 
0.2559; 0.8190; 1.4243 
0.2541; 0.8189; 1.4303 
0.2528; 0.8189; 1.4376 
0.2509; 0.8189; 1.4361 
0.2502; 0.8188; 1.4372 
0.2499; 0.8188; 1.4385 
0.2515; 0.8189; 1.4370 
0.2511; 0.8189; 1.4392 
0.2486; 0.8189; 1.4373 
0.2470; 0.8188; 1.4431 
0.2467; 0.8188; 1.4435 
0.2450; 0.8188; 1.4360 
0.2403; 0.8188; 1.4363 
0.2419; 0.8188; 1.4360 
0.2397; 0.8187; 1.4396 
0.2397; 0.8188; 1.4369 
0.2385; 0.8188; 1.4341 
0.2394; 0.8188; 1.4325 
0.2394; 0.8188; 1.4386 
0.2692; 0.8188; 1.4874 
0.2902; 0.8188; 1.5644 
0.2780; 0.8189; 1.4650 
0.2631; 0.8189; 1.5247 
0.2438; 0.8189; 1.5312 
0.2551; 0.8189; 1.5349 
0.2578; 0.8189; 1.5589 
0.2464; 0.8189; 1.5210 
0.2599; 0.8189; 1.5130 
0.2419; 0.8189; 1.4958 
0.2503; 0.8189; 1.4917 
0.2341; 0.8189; 1.5009 
0.2300; 0.8189; 1.4982 
0.2321; 0.8189; 1.4977 
0.2299; 0.8189; 1.4804 
0.2267; 0.8189; 1.4723 
0.2306; 0.8189; 1.4826 
0.2335; 0.8189; 1.4872 
0.2306; 0.8189; 1.5109 
0.2342; 0.8189; 1.5131 
0.2357; 0.8189; 1.5208 
0.2311; 0.8189; 1.5096 
0.2285; 0.8189; 1.5230 
0.2323; 0.8189; 1.5186 
0.2395; 0.8189; 1.5150 
0.2416; 0.8189; 1.5084 
0.2444; 0.8189; 1.4931 
0.2484; 0.8189; 1.4950 
0.2484; 0.8189; 1.4968 
0.2426; 0.8189; 1.4880 
0.2445; 0.8189; 1.4790 
0.2422; 0.8189; 1.4794 
0.2444; 0.8188; 1.4786 
0.2418; 0.8188; 1.4712 
0.2405; 0.8188; 1.4702 
0.2449; 0.8187; 1.4701 
0.2456; 0.8187; 1.4719 
0.2463; 0.8187; 1.4682 
0.2460; 0.8187; 1.4668 
0.2454; 0.8187; 1.4695 
0.2410; 0.8187; 1.4688 
0.2416; 0.8187; 1.4679 
0.2466; 0.8186; 1.4739 
0.2447; 0.8186; 1.4721 
0.2442; 0.8186; 1.4697 
0.2436; 0.8185; 1.4691 
0.2443; 0.8186; 1.4717 
0.2486; 0.8185; 1.4620 
0.2476; 0.8185; 1.4624 
0.2453; 0.8186; 1.4639 
0.2766; 0.8186; 1.2901 
0.1982; 0.8186; 1.3428 
0.2591; 0.8186; 1.2818 
0.2689; 0.8186; 1.3483 
0.2719; 0.8185; 1.4192 
0.2677; 0.8186; 1.4567 
0.2635; 0.8186; 1.4382 
0.2580; 0.8186; 1.4326 
0.2444; 0.8186; 1.4010 
0.2523; 0.8186; 1.4049 
0.2552; 0.8186; 1.4199 
0.2477; 0.8186; 1.4117 
0.2480; 0.8185; 1.4301 
0.2486; 0.8186; 1.4360 
0.2451; 0.8185; 1.4377 
0.2455; 0.8185; 1.4386 
0.2415; 0.8185; 1.4452 
0.2502; 0.8184; 1.4465 
0.2492; 0.8184; 1.4440 
0.2497; 0.8184; 1.4502 
0.2493; 0.8183; 1.4603 
0.2527; 0.8183; 1.4791 
0.2558; 0.8183; 1.4749 
0.2521; 0.8183; 1.4767 
0.2509; 0.8183; 1.4786 
0.2477; 0.8183; 1.4800 
0.2443; 0.8183; 1.4804 
0.2474; 0.8184; 1.4765 
0.2488; 0.8184; 1.4742 
0.2462; 0.8183; 1.4827 
0.2474; 0.8183; 1.4838 
0.2492; 0.8183; 1.4820 
0.2515; 0.8183; 1.4878 
0.2457; 0.8182; 1.4921 
0.2512; 0.8182; 1.4916 
0.2516; 0.8182; 1.4911 
0.2491; 0.8181; 1.4966 
0.2468; 0.8181; 1.4979 
0.2470; 0.8181; 1.4975 
0.2471; 0.8181; 1.4939 
0.2488; 0.8181; 1.4958 
0.2509; 0.8181; 1.4940 
0.2512; 0.8181; 1.4907 
0.2511; 0.8182; 1.4892 
0.2498; 0.8182; 1.4857 
0.2543; 0.8182; 1.4833 
0.2560; 0.8182; 1.4797 
0.2535; 0.8181; 1.4805 
0.2543; 0.8181; 1.4780 
0.2532; 0.8181; 1.4789 
0.2927; 0.8181; 1.3878 
0.2028; 0.8181; 1.4802 
0.2307; 0.8180; 1.4841 
0.2499; 0.8180; 1.4776 
0.2390; 0.8180; 1.4635 
0.2166; 0.8181; 1.4757 
0.2330; 0.8181; 1.4689 
0.2260; 0.8180; 1.4758 
0.2274; 0.8181; 1.4934 
0.2351; 0.8181; 1.4554 
0.2304; 0.8181; 1.4572 
0.2352; 0.8180; 1.4587 
0.2298; 0.8180; 1.4723 
0.2380; 0.8180; 1.4672 
0.2424; 0.8181; 1.4728 
0.2383; 0.8181; 1.4552 
0.2392; 0.8181; 1.4499 
0.2408; 0.8181; 1.4483 
0.2460; 0.8181; 1.4580 
0.2517; 0.8181; 1.4511 
0.2528; 0.8181; 1.4528 
0.2511; 0.8180; 1.4615 
0.2513; 0.8180; 1.4628 
0.2486; 0.8180; 1.4599 
0.2499; 0.8180; 1.4549 
0.2522; 0.8180; 1.4571 
0.2525; 0.8179; 1.4684 
0.2517; 0.8179; 1.4581 
0.2498; 0.8179; 1.4601 
0.2486; 0.8180; 1.4703 
0.2454; 0.8179; 1.4774 
0.2515; 0.8179; 1.4788 
0.2525; 0.8180; 1.4818 
0.2478; 0.8179; 1.4907 
0.2469; 0.8179; 1.4944 
0.2457; 0.8179; 1.4964 
0.2472; 0.8179; 1.4962 
0.2415; 0.8178; 1.5164 
0.2414; 0.8178; 1.5133 
0.2400; 0.8178; 1.5185 
0.2426; 0.8178; 1.5157 
0.2431; 0.8178; 1.5176 
0.2459; 0.8177; 1.5153 
0.2449; 0.8178; 1.5120 
0.2447; 0.8178; 1.5052 
0.2431; 0.8178; 1.5046 
0.2442; 0.8177; 1.5057 
0.2431; 0.8177; 1.5016 
0.2394; 0.8177; 1.5032 
0.2413; 0.8178; 1.4980 
0.2182; 0.8178; 1.2703 
0.1649; 0.8178; 1.2460 
0.2346; 0.8179; 1.2993 
0.2459; 0.8179; 1.3638 
0.2455; 0.8178; 1.4101 
0.2183; 0.8179; 1.3459 
0.2201; 0.8179; 1.3540 
0.2171; 0.8179; 1.4052 
0.2312; 0.8179; 1.4273 
0.2248; 0.8179; 1.4340 
0.2233; 0.8178; 1.4489 
0.2347; 0.8179; 1.4475 
0.2356; 0.8178; 1.4558 
0.2341; 0.8178; 1.4707 
0.2349; 0.8177; 1.4687 
0.2309; 0.8177; 1.4697 
0.2258; 0.8177; 1.4650 
0.2283; 0.8177; 1.4750 
0.2317; 0.8176; 1.4843 
0.2302; 0.8176; 1.4837 
0.2292; 0.8176; 1.4843 
0.2297; 0.8176; 1.4893 
0.2314; 0.8176; 1.4867 
0.2244; 0.8176; 1.4978 
0.2244; 0.8176; 1.4958 
0.2272; 0.8175; 1.4920 
0.2256; 0.8176; 1.5000 
0.2223; 0.8176; 1.4955 
0.2262; 0.8175; 1.4924 
0.2256; 0.8175; 1.4888 
0.2243; 0.8176; 1.4844 
0.2242; 0.8176; 1.4788 
0.2238; 0.8176; 1.4866 
0.2221; 0.8176; 1.4871 
0.2197; 0.8176; 1.4873 
0.2244; 0.8176; 1.4900 
0.2277; 0.8175; 1.4904 
0.2260; 0.8176; 1.4866 
0.2257; 0.8175; 1.4826 
0.2250; 0.8176; 1.4775 
0.2272; 0.8175; 1.4866 
0.2233; 0.8175; 1.4769 
0.2242; 0.8176; 1.4759 
0.2227; 0.8175; 1.4771 
0.2244; 0.8175; 1.4772 
0.2235; 0.8175; 1.4825 
0.2244; 0.8175; 1.4831 
0.2254; 0.8175; 1.4835 
0.2235; 0.8175; 1.4845 
0.2250; 0.8175; 1.4828 
0.1940; 0.8174; 1.6399 
0.1783; 0.8175; 1.4626 
0.2726; 0.8175; 1.4203 
0.3113; 0.8175; 1.4910 
0.2853; 0.8175; 1.4712 
0.2687; 0.8175; 1.5166 
0.2654; 0.8175; 1.5296 
0.2647; 0.8174; 1.5377 
0.2604; 0.8174; 1.5146 
0.2511; 0.8174; 1.4621 
0.2478; 0.8174; 1.4625 
0.2378; 0.8174; 1.4600 
0.2434; 0.8174; 1.4562 
0.2410; 0.8174; 1.4536 
0.2459; 0.8174; 1.4523 
0.2484; 0.8175; 1.4526 
0.2461; 0.8175; 1.4657 
0.2438; 0.8174; 1.4575 
0.2433; 0.8174; 1.4555 
0.2389; 0.8175; 1.4461 
0.2370; 0.8175; 1.4364 
0.2331; 0.8175; 1.4380 
0.2418; 0.8175; 1.4290 
0.2405; 0.8175; 1.4319 
0.2448; 0.8175; 1.4247 
0.2459; 0.8175; 1.4251 
0.2461; 0.8175; 1.4149 
0.2459; 0.8176; 1.4004 
0.2495; 0.8175; 1.4075 
0.2486; 0.8174; 1.4163 
0.2482; 0.8174; 1.4279 
0.2451; 0.8173; 1.4255 
0.2486; 0.8173; 1.4318 
0.2472; 0.8173; 1.4353 
0.2458; 0.8174; 1.4369 
0.2464; 0.8174; 1.4333 
0.2449; 0.8173; 1.4394 
0.2430; 0.8174; 1.4416 
0.2420; 0.8174; 1.4367 
0.2430; 0.8174; 1.4373 
0.2430; 0.8174; 1.4319 
0.2398; 0.8174; 1.4332 
0.2395; 0.8173; 1.4330 
0.2382; 0.8174; 1.4286 
0.2390; 0.8174; 1.4282 
0.2348; 0.8173; 1.4191 
0.2357; 0.8173; 1.4216 
0.2384; 0.8173; 1.4160 
0.2379; 0.8173; 1.4250 
0.2360; 0.8173; 1.4218 
0.4043; 0.8172; 1.7289 
0.3147; 0.8172; 1.6566 
0.2835; 0.8172; 1.6171 
0.2986; 0.8172; 1.6085 
0.2745; 0.8172; 1.6311 
0.2495; 0.8172; 1.6483 
0.2347; 0.8172; 1.5962 
0.2459; 0.8172; 1.5454 
0.2524; 0.8171; 1.5387 
0.2366; 0.8171; 1.5203 
0.2343; 0.8171; 1.5013 
0.2408; 0.8171; 1.4980 
0.2457; 0.8170; 1.5024 
0.2328; 0.8171; 1.4584 
0.2296; 0.8170; 1.4664 
0.2327; 0.8170; 1.4629 
0.2299; 0.8171; 1.4588 
0.2268; 0.8170; 1.4483 
0.2313; 0.8171; 1.4422 
0.2317; 0.8171; 1.4456 
0.2311; 0.8171; 1.4364 
0.2297; 0.8171; 1.4270 
0.2283; 0.8170; 1.4241 
0.2289; 0.8170; 1.4313 
0.2342; 0.8170; 1.4345 
0.2366; 0.8169; 1.4497 
0.2362; 0.8169; 1.4492 
0.2332; 0.8169; 1.4478 
0.2363; 0.8169; 1.4390 
0.2349; 0.8169; 1.4314 
0.2327; 0.8169; 1.4314 
0.2275; 0.8169; 1.4142 
0.2282; 0.8169; 1.4231 
0.2253; 0.8169; 1.4307 
0.2288; 0.8169; 1.4369 
0.2290; 0.8169; 1.4484 
0.2319; 0.8169; 1.4514 
0.2312; 0.8169; 1.4625 
0.2341; 0.8168; 1.4640 
0.2332; 0.8168; 1.4605 
0.2327; 0.8168; 1.4608 
0.2347; 0.8168; 1.4577 
0.2350; 0.8168; 1.4625 
0.2363; 0.8168; 1.4668 
0.2351; 0.8168; 1.4683 
0.2347; 0.8169; 1.4670 
0.2346; 0.8169; 1.4658 
0.2324; 0.8169; 1.4664 
0.2318; 0.8168; 1.4676 
0.2389; 0.8169; 1.4597 
0.1669; 0.8169; 1.4508 
0.1708; 0.8170; 1.5058 
0.1660; 0.8170; 1.4160 
0.2103; 0.8170; 1.3869 
0.2366; 0.8170; 1.3896 
0.2345; 0.8170; 1.3677 
0.2305; 0.8170; 1.3804 
0.2279; 0.8170; 1.4146 
0.2250; 0.8171; 1.4059 
0.2263; 0.8170; 1.4146 
0.2167; 0.8170; 1.4283 
0.2276; 0.8170; 1.4303 
0.2254; 0.8170; 1.4210 
0.2270; 0.8170; 1.4142 
0.2248; 0.8170; 1.3994 
0.2393; 0.8170; 1.4358 
0.2459; 0.8170; 1.4276 
0.2384; 0.8169; 1.4522 
0.2382; 0.8169; 1.4560 
0.2335; 0.8169; 1.4706 
0.2345; 0.8169; 1.4837 
0.2343; 0.8169; 1.4762 
0.2410; 0.8169; 1.4776 
0.2416; 0.8169; 1.4833 
0.2400; 0.8168; 1.4857 
0.2408; 0.8168; 1.4780 
0.2374; 0.8168; 1.4905 
0.2358; 0.8168; 1.4971 
0.2372; 0.8168; 1.4990 
0.2402; 0.8168; 1.5008 
0.2440; 0.8168; 1.5057 
0.2439; 0.8168; 1.5072 
0.2416; 0.8168; 1.4999 
0.2432; 0.8168; 1.5013 
0.2438; 0.8168; 1.5025 
0.2381; 0.8167; 1.4954 
0.2433; 0.8167; 1.4925 
0.2396; 0.8167; 1.4924 
0.2414; 0.8167; 1.4953 
0.2416; 0.8167; 1.5052 
0.2431; 0.8167; 1.5010 
0.2451; 0.8166; 1.4978 
0.2455; 0.8166; 1.4997 
0.2447; 0.8166; 1.5023 
0.2450; 0.8166; 1.5104 
0.2428; 0.8166; 1.5034 
0.2401; 0.8166; 1.5011 
0.2439; 0.8166; 1.5002 
0.2498; 0.8167; 1.4951 
0.2475; 0.8167; 1.4904 
0.2649; 0.8166; 1.5512 
0.2984; 0.8166; 1.4131 
0.3361; 0.8166; 1.4537 
0.2635; 0.8166; 1.4077 
0.2706; 0.8165; 1.4529 
0.2423; 0.8165; 1.4733 
0.2398; 0.8165; 1.4746 
0.2405; 0.8165; 1.4968 
0.2546; 0.8165; 1.4531 
0.2540; 0.8165; 1.4645 
0.2490; 0.8165; 1.4877 
0.2544; 0.8165; 1.4843 
0.2525; 0.8165; 1.4831 
0.2555; 0.8165; 1.4744 
0.2443; 0.8165; 1.4656 
0.2524; 0.8164; 1.4732 
0.2463; 0.8165; 1.4865 
0.2399; 0.8165; 1.4826 
0.2381; 0.8165; 1.4785 
0.2336; 0.8165; 1.4826 
0.2350; 0.8165; 1.4713 
0.2361; 0.8165; 1.4694 
0.2394; 0.8165; 1.4719 
0.2404; 0.8165; 1.4721 
0.2381; 0.8165; 1.4655 
0.2342; 0.8165; 1.4631 
