geral; gerador; descriminador 
0.2464; 0.9214; 1.4742 
0.2520; 0.9194; 1.4874 
0.2591; 0.9243; 1.4622 
0.2594; 0.9235; 1.4580 
0.2553; 0.9233; 1.4542 
0.2550; 0.9245; 1.4600 
0.2520; 0.9265; 1.4553 
0.2547; 0.9267; 1.4502 
0.2518; 0.9266; 1.4485 
0.2492; 0.9263; 1.4567 
0.2499; 0.9255; 1.4606 
0.2486; 0.9256; 1.4674 
0.2507; 0.9257; 1.4624 
0.2509; 0.9251; 1.4687 
0.2532; 0.9261; 1.4733 
0.2504; 0.9267; 1.4765 
0.2494; 0.9279; 1.4741 
0.2481; 0.9284; 1.4832 
0.2485; 0.9276; 1.4858 
0.2506; 0.9283; 1.4794 
0.2462; 0.9263; 1.4732 
0.2486; 0.9247; 1.4757 
0.2489; 0.9261; 1.4731 
0.2025; 0.9251; 1.6716 
0.2219; 0.9241; 1.6788 
0.2433; 0.9237; 1.6266 
0.2370; 0.9240; 1.5849 
0.2447; 0.9247; 1.5588 
0.2600; 0.9253; 1.5759 
0.2513; 0.9275; 1.5572 
0.2600; 0.9273; 1.5553 
0.2518; 0.9296; 1.5629 
0.2565; 0.9285; 1.5481 
0.2675; 0.9278; 1.5495 
0.2602; 0.9295; 1.5606 
0.2455; 0.9289; 1.5354 
0.2425; 0.9292; 1.5482 
0.2452; 0.9289; 1.5352 
0.2325; 0.9305; 1.5521 
0.2368; 0.9298; 1.5368 
0.2339; 0.9297; 1.5387 
0.2445; 0.9304; 1.5382 
0.2452; 0.9303; 1.5450 
0.2427; 0.9296; 1.5463 
0.2452; 0.9295; 1.5486 
0.2455; 0.9307; 1.5330 
0.2465; 0.9301; 1.5247 
0.2479; 0.9296; 1.5319 
0.2476; 0.9305; 1.5257 
0.2485; 0.9297; 1.5246 
0.2520; 0.9295; 1.5170 
0.2567; 0.9301; 1.5200 
0.2526; 0.9292; 1.5251 
0.2465; 0.9283; 1.5216 
0.2463; 0.9280; 1.5242 
0.2424; 0.9282; 1.5351 
0.2377; 0.9306; 1.5260 
0.2375; 0.9307; 1.5201 
0.2362; 0.9303; 1.5263 
0.2397; 0.9296; 1.5226 
0.2382; 0.9297; 1.5215 
0.2384; 0.9313; 1.5205 
0.2403; 0.9300; 1.5203 
0.2393; 0.9319; 1.5159 
0.2384; 0.9333; 1.5116 
0.2391; 0.9327; 1.5114 
0.2367; 0.9347; 1.5076 
0.2387; 0.9339; 1.5099 
0.2435; 0.9335; 1.5111 
0.2444; 0.9334; 1.5077 
0.2434; 0.9338; 1.5006 
0.2422; 0.9330; 1.4985 
0.2443; 0.9330; 1.4956 
0.2605; 0.9312; 1.7669 
0.1750; 0.9286; 1.7315 
0.2458; 0.9279; 1.6093 
0.2359; 0.9282; 1.5945 
0.2405; 0.9291; 1.5048 
0.2334; 0.9298; 1.4627 
0.2455; 0.9296; 1.4583 
0.2542; 0.9286; 1.4671 
0.2540; 0.9296; 1.4845 
0.2484; 0.9282; 1.4913 
0.2553; 0.9277; 1.4960 
0.2577; 0.9289; 1.5005 
0.2691; 0.9279; 1.4945 
0.2728; 0.9284; 1.4859 
0.2749; 0.9276; 1.4850 
0.2685; 0.9263; 1.4912 
0.2700; 0.9274; 1.4887 
0.2645; 0.9281; 1.4786 
0.2674; 0.9280; 1.4758 
0.2564; 0.9283; 1.4748 
0.2542; 0.9282; 1.4772 
0.2517; 0.9277; 1.4930 
0.2531; 0.9273; 1.4871 
0.2519; 0.9273; 1.4810 
0.2563; 0.9267; 1.4794 
0.2548; 0.9264; 1.4922 
0.2527; 0.9271; 1.4887 
0.2506; 0.9268; 1.4932 
0.2492; 0.9264; 1.4843 
0.2447; 0.9263; 1.4890 
0.2397; 0.9261; 1.4911 
0.2467; 0.9257; 1.4959 
0.2514; 0.9256; 1.5053 
0.2506; 0.9265; 1.5071 
0.2497; 0.9258; 1.5048 
0.2479; 0.9265; 1.5052 
0.2481; 0.9263; 1.5055 
0.2516; 0.9271; 1.5008 
0.2562; 0.9262; 1.4955 
0.2549; 0.9267; 1.4944 
0.2551; 0.9263; 1.4949 
0.2532; 0.9254; 1.4973 
0.2522; 0.9251; 1.5006 
0.2532; 0.9251; 1.5006 
0.2516; 0.9253; 1.4938 
0.2511; 0.9256; 1.4906 
0.2500; 0.9270; 1.4944 
0.2515; 0.9275; 1.4920 
0.2514; 0.9288; 1.4986 
0.2514; 0.9291; 1.4988 
0.2413; 0.9282; 1.3004 
0.1877; 0.9283; 1.3127 
0.1843; 0.9287; 1.2814 
0.2216; 0.9297; 1.4624 
0.2382; 0.9301; 1.4944 
0.2747; 0.9311; 1.4934 
0.2736; 0.9311; 1.4985 
0.2682; 0.9310; 1.5224 
0.2720; 0.9310; 1.5155 
0.2680; 0.9321; 1.5303 
0.2653; 0.9327; 1.5119 
0.2722; 0.9337; 1.5161 
0.2728; 0.9333; 1.5181 
0.2682; 0.9335; 1.5143 
0.2678; 0.9331; 1.5121 
0.2636; 0.9328; 1.5202 
0.2578; 0.9335; 1.5111 
0.2544; 0.9341; 1.5174 
0.2620; 0.9343; 1.5263 
0.2541; 0.9352; 1.5343 
0.2482; 0.9356; 1.5299 
0.2514; 0.9349; 1.5357 
0.2528; 0.9360; 1.5324 
0.2482; 0.9343; 1.5464 
0.2452; 0.9339; 1.5545 
0.2443; 0.9333; 1.5635 
0.2443; 0.9338; 1.5699 
0.2434; 0.9350; 1.5632 
0.2427; 0.9352; 1.5554 
0.2439; 0.9344; 1.5525 
0.2407; 0.9344; 1.5538 
0.2384; 0.9355; 1.5539 
0.2389; 0.9348; 1.5554 
0.2407; 0.9344; 1.5480 
0.2376; 0.9347; 1.5550 
0.2439; 0.9357; 1.5552 
0.2422; 0.9359; 1.5506 
0.2428; 0.9353; 1.5423 
0.2409; 0.9354; 1.5494 
0.2393; 0.9353; 1.5481 
0.2471; 0.9344; 1.5494 
0.2430; 0.9362; 1.5402 
0.2428; 0.9356; 1.5376 
0.2394; 0.9358; 1.5370 
0.2390; 0.9358; 1.5379 
0.2404; 0.9355; 1.5352 
0.2416; 0.9346; 1.5338 
0.2417; 0.9343; 1.5413 
0.2420; 0.9344; 1.5436 
0.2445; 0.9338; 1.5427 
0.1713; 0.9346; 1.5554 
0.1513; 0.9351; 1.6840 
